depth,opponent,flatmc_wr%,wr_std%,avg_turns,turn_std,cq%,cs%,tb%
12,Builder,51.8,1.6,174.9,21.0,52,0,0
12,Builder,51.8,1.6,174.9,21.0,52,0,0
12,StateAware,74.9,1.4,144.2,17.3,75,0,0
12,StateAware,74.9,1.4,144.2,17.3,75,0,0
12,AlwaysWhite,85.5,1.1,130.4,15.7,79,0,6
12,AlwaysWhite,85.5,1.1,130.4,15.7,79,0,6
