ttM,uM,fBT,hp,tcM,startR,branch,BvR_T,BvR_Cq%,BvR_Cs%,BvR_Tb%,SvA_T,SvA_WR%,SvR_T,SvR_WR%,WvR_T,WvR_WR%
10,8,10,2000,4,40,40,67.2,47,53,0,98.4,73.3,119.8,76.7,76.9,86.7
10,8,10,2000,4,50,25,74.3,57,40,3,100.6,53.3,77.4,46.7,67.7,46.7
10,8,10,2000,4,50,30,90.2,53,37,10,101.8,63.3,94.1,93.3,73.3,53.3
10,8,10,2000,4,50,35,66.6,53,47,0,96.4,76.7,83.9,73.3,73.7,70.0
10,8,10,2000,4,50,40,65.3,40,60,0,105.6,83.3,102.0,86.7,92.5,80.0
10,8,10,2000,5,30,25,72.4,83,17,0,89.4,66.7,91.1,70.0,75.2,70.0
10,8,10,2000,5,30,30,93.1,83,10,7,90.8,60.0,95.5,90.0,88.9,70.0
10,8,10,2000,5,30,35,79.7,87,10,3,97.6,80.0,92.7,90.0,97.8,86.7
10,8,10,2000,5,30,40,102.7,83,3,13,103.7,76.7,105.8,90.0,81.5,96.7
10,8,10,2000,5,40,25,77.9,67,30,3,81.4,23.3,88.2,53.3,76.8,63.3
10,8,10,2000,5,40,30,78.3,70,27,3,91.6,63.3,97.3,90.0,73.5,86.7
10,8,10,2000,5,40,35,85.6,63,30,7,105.4,73.3,93.5,96.7,79.6,80.0
10,8,10,2000,5,40,40,78.4,73,23,3,104.2,76.7,113.7,86.7,81.3,80.0
10,8,10,2000,5,50,25,75.6,47,50,3,86.7,53.3,74.4,50.0,64.0,30.0
10,8,10,2000,5,50,30,97.5,37,50,13,100.5,60.0,90.7,70.0,72.5,50.0
10,8,10,2000,5,50,35,68.1,57,43,0,101.6,83.3,95.4,80.0,77.7,70.0
10,8,10,2000,5,50,40,68.5,67,33,0,115.3,80.0,112.0,86.7,71.9,80.0
10,8,10,2500,3,30,25,199.5,0,43,57,105.2,63.3,87.4,43.3,77.4,30.0
10,8,10,2500,3,30,30,197.7,0,43,57,108.0,66.7,97.8,76.7,70.4,40.0
10,8,10,2500,3,30,35,183.7,0,50,50,111.6,83.3,102.9,73.3,88.5,63.3
10,8,10,2500,3,30,40,161.4,0,60,40,116.6,86.7,117.1,90.0,83.6,76.7
10,8,10,2500,3,40,25,211.7,0,37,63,109.4,63.3,75.9,40.0,65.0,26.7
10,8,10,2500,3,40,30,196.8,0,43,57,108.6,70.0,102.3,76.7,73.0,53.3
10,8,10,2500,3,40,35,168.9,0,57,43,114.7,90.0,115.1,66.7,94.7,56.7
10,8,10,2500,3,40,40,146.4,0,67,33,124.8,93.3,117.3,63.3,86.8,80.0
10,8,10,2500,3,50,25,45.4,0,100,0,99.9,56.7,53.4,10.0,45.5,0.0
10,8,10,2500,3,50,30,45.0,0,100,0,107.6,73.3,72.8,30.0,51.4,10.0
10,8,10,2500,3,50,35,50.1,0,100,0,52.9,86.7,49.5,96.7,51.8,6.7
10,8,10,2500,3,50,40,49.9,0,100,0,45.0,100.0,60.2,93.3,54.7,16.7
10,8,10,2500,4,30,25,156.6,0,63,37,102.7,63.3,102.8,60.0,80.6,50.0
10,8,10,2500,4,30,30,173.3,0,57,43,110.3,76.7,114.0,76.7,85.2,80.0
10,8,10,2500,4,30,35,187.7,0,50,50,119.0,80.0,105.1,86.7,100.8,73.3
10,8,10,2500,4,30,40,210.3,0,40,60,116.9,73.3,111.9,90.0,95.6,86.7
10,8,10,2500,4,40,25,171.2,0,57,43,99.2,26.7,88.1,50.0,71.3,16.7
10,8,10,2500,4,40,30,160.4,0,60,40,108.5,70.0,102.2,80.0,78.6,56.7
10,8,10,2500,4,40,35,179.3,0,53,47,117.8,83.3,103.3,76.7,87.8,56.7
10,8,10,2500,4,40,40,141.7,0,67,33,114.2,70.0,118.3,76.7,89.5,80.0
10,8,10,2500,4,50,25,211.6,0,40,60,106.5,60.0,89.4,40.0,78.2,40.0
10,8,10,2500,4,50,30,173.4,0,53,47,108.4,63.3,112.0,83.3,92.6,73.3
10,8,10,2500,4,50,35,173.4,0,53,47,109.4,60.0,102.5,83.3,80.2,70.0
10,8,10,2500,4,50,40,173.6,0,53,47,117.6,86.7,127.7,73.3,79.4,63.3
10,8,10,2500,5,30,25,168.5,0,60,40,112.3,53.3,98.1,80.0,90.1,46.7
10,8,10,2500,5,30,30,182.5,0,53,47,103.9,50.0,99.1,76.7,97.0,73.3
