ttM,uM,fBT,hp,tcM,startR,branch,BvR_T,BvR_Cq%,BvR_Cs%,BvR_Tb%,SvA_T,SvA_WR%,SvR_T,SvR_WR%,WvR_T,WvR_WR%
10,12,12,3000,3,40,40,147.5,0,63,37,94.1,76.7,62.8,53.3,68.6,26.7
10,12,12,3000,3,50,25,72.7,0,93,7,118.1,33.3,63.2,3.3,57.3,0.0
10,12,12,3000,3,50,30,81.2,0,90,10,111.2,13.3,61.1,10.0,58.4,3.3
10,12,12,3000,3,50,35,82.1,0,90,10,121.9,66.7,69.9,20.0,67.0,23.3
10,12,12,3000,3,50,40,89.5,0,87,13,132.9,66.7,98.4,23.3,61.8,13.3
10,12,12,3000,4,30,25,154.9,0,70,30,111.5,16.7,66.9,0.0,63.3,0.0
10,12,12,3000,4,30,30,203.3,0,47,53,126.5,36.7,81.8,13.3,74.2,0.0
10,12,12,3000,4,30,35,201.5,0,47,53,118.2,26.7,118.9,50.0,97.0,36.7
10,12,12,3000,4,30,40,168.2,0,63,37,123.2,46.7,145.4,46.7,96.1,66.7
10,12,12,3000,4,40,25,178.9,0,50,50,108.7,13.3,53.0,0.0,54.7,0.0
10,12,12,3000,4,40,30,141.5,0,67,33,105.5,23.3,63.6,0.0,61.0,0.0
10,12,12,3000,4,40,35,195.2,0,43,57,120.4,43.3,75.2,20.0,65.1,0.0
10,12,12,3000,4,40,40,138.7,0,70,30,127.1,60.0,86.1,40.0,82.9,43.3
10,12,12,3000,4,50,25,156.0,0,63,37,107.3,13.3,60.4,0.0,57.9,0.0
10,12,12,3000,4,50,30,190.4,0,47,53,118.2,33.3,62.9,3.3,64.8,6.7
10,12,12,3000,4,50,35,149.9,0,67,33,117.3,33.3,72.3,6.7,74.1,26.7
10,12,12,3000,4,50,40,172.0,0,57,43,121.5,60.0,101.7,50.0,78.9,30.0
10,12,12,3000,5,30,25,207.9,0,43,57,113.0,13.3,68.5,0.0,63.5,0.0
10,12,12,3000,5,30,30,179.2,0,57,43,116.5,53.3,86.4,20.0,72.6,3.3
10,12,12,3000,5,30,35,163.7,0,67,33,120.8,23.3,113.5,60.0,91.0,33.3
10,12,12,3000,5,30,40,209.2,0,43,57,129.5,66.7,133.5,63.3,104.3,53.3
10,12,12,3000,5,40,25,214.7,0,43,57,114.8,16.7,70.0,0.0,62.5,0.0
10,12,12,3000,5,40,30,190.1,0,50,50,113.3,50.0,88.7,30.0,76.5,3.3
10,12,12,3000,5,40,35,168.6,0,60,40,129.2,36.7,114.0,53.3,86.0,23.3
10,12,12,3000,5,40,40,205.6,0,43,57,128.9,56.7,129.1,56.7,96.8,56.7
10,12,12,3000,5,50,25,170.1,0,57,43,107.1,20.0,55.8,3.3,53.6,0.0
10,12,12,3000,5,50,30,193.0,0,47,53,105.5,36.7,60.0,0.0,60.5,0.0
10,12,12,3000,5,50,35,209.3,0,40,60,130.8,50.0,71.3,20.0,69.3,0.0
10,12,12,3000,5,50,40,163.1,0,57,43,120.5,36.7,89.1,36.7,83.4,33.3
10,12,14,1500,3,30,25,62.2,80,20,0,81.2,20.0,54.7,3.3,53.7,0.0
10,12,14,1500,3,30,30,62.9,73,27,0,74.6,33.3,59.4,0.0,59.8,13.3
10,12,14,1500,3,30,35,62.6,80,20,0,75.1,33.3,74.4,40.0,65.9,30.0
10,12,14,1500,3,30,40,62.3,73,27,0,88.0,63.3,70.5,46.7,66.9,70.0
10,12,14,1500,3,40,25,59.0,57,43,0,72.0,23.3,52.7,6.7,50.7,0.0
10,12,14,1500,3,40,30,59.4,57,43,0,76.2,40.0,53.6,0.0,55.4,13.3
10,12,14,1500,3,40,35,60.2,70,30,0,79.3,46.7,65.5,26.7,59.2,30.0
10,12,14,1500,3,40,40,60.0,63,37,0,75.0,43.3,59.6,63.3,62.4,56.7
10,12,14,1500,3,50,25,67.8,70,27,3,68.7,23.3,57.8,3.3,56.1,3.3
10,12,14,1500,3,50,30,60.3,83,17,0,71.1,20.0,65.7,16.7,61.5,50.0
10,12,14,1500,3,50,35,60.2,77,23,0,77.9,36.7,76.0,33.3,63.6,76.7
10,12,14,1500,3,50,40,60.8,93,7,0,88.6,60.0,83.8,83.3,63.6,66.7
10,12,14,1500,4,30,25,73.2,93,3,3,71.3,20.0,66.1,10.0,60.7,33.3
10,12,14,1500,4,30,30,65.0,100,0,0,75.1,13.3,78.3,20.0,65.5,56.7
10,12,14,1500,4,30,35,64.6,100,0,0,81.2,56.7,92.4,43.3,67.9,83.3
10,12,14,1500,4,30,40,64.8,100,0,0,82.7,33.3,94.6,83.3,69.9,100.0
10,12,14,1500,4,40,25,62.0,67,33,0,73.6,20.0,53.1,0.0,55.2,6.7
10,12,14,1500,4,40,30,62.7,73,27,0,73.2,26.7,60.4,3.3,60.1,10.0
10,12,14,1500,4,40,35,61.9,53,47,0,71.5,33.3,66.4,10.0,62.2,6.7
10,12,14,1500,4,40,40,61.9,67,33,0,80.9,36.7,72.8,50.0,67.4,80.0
10,12,14,1500,4,50,25,61.2,70,30,0,67.5,10.0,58.3,0.0,55.7,16.7
10,12,14,1500,4,50,30,61.3,70,30,0,65.1,3.3,62.0,10.0,60.6,10.0
10,12,14,1500,4,50,35,61.3,70,30,0,76.6,36.7,72.7,36.7,64.0,43.3
10,12,14,1500,4,50,40,61.1,63,37,0,83.9,63.3,71.8,36.7,67.3,63.3
10,12,14,1500,5,30,25,66.3,97,3,0,71.7,6.7,62.8,23.3,60.1,30.0
10,12,14,1500,5,30,30,66.0,100,0,0,74.5,13.3,72.4,26.7,67.3,53.3
10,12,14,1500,5,30,35,65.5,100,0,0,74.7,23.3,91.9,56.7,77.6,66.7
10,12,14,1500,5,30,40,66.1,100,0,0,91.1,53.3,103.6,80.0,71.0,100.0
10,12,14,1500,5,40,25,64.0,100,0,0,68.1,16.7,63.5,6.7,63.7,33.3
10,12,14,1500,5,40,30,63.4,100,0,0,83.4,33.3,71.9,16.7,66.8,56.7
10,12,14,1500,5,40,35,63.4,100,0,0,76.8,33.3,84.6,70.0,77.3,70.0
10,12,14,1500,5,40,40,63.7,97,3,0,85.7,43.3,106.2,76.7,75.0,96.7
10,12,14,1500,5,50,25,62.1,73,27,0,70.0,23.3,54.5,3.3,52.9,10.0
10,12,14,1500,5,50,30,77.1,63,30,7,72.7,23.3,59.6,0.0,60.3,16.7
10,12,14,1500,5,50,35,61.7,83,17,0,80.6,36.7,67.0,16.7,66.0,26.7
10,12,14,1500,5,50,40,61.4,63,37,0,75.3,36.7,82.7,43.3,74.4,80.0
10,12,14,2000,3,30,25,92.3,43,47,10,86.5,20.0,54.8,3.3,55.9,6.7
10,12,14,2000,3,30,30,74.8,37,60,3,89.9,26.7,60.1,3.3,59.4,0.0
10,12,14,2000,3,30,35,100.1,40,47,13,97.0,43.3,73.5,30.0,64.1,6.7
10,12,14,2000,3,30,40,91.4,43,47,10,93.4,43.3,83.4,40.0,79.8,26.7
10,12,14,2000,3,40,25,63.0,37,63,0,80.0,13.3,51.5,0.0,52.1,3.3
10,12,14,2000,3,40,30,68.5,63,37,0,84.2,26.7,57.2,0.0,54.9,0.0
10,12,14,2000,3,40,35,72.4,37,60,3,93.1,50.0,60.1,13.3,59.7,0.0
10,12,14,2000,3,40,40,64.4,40,60,0,79.1,43.3,69.3,56.7,70.1,36.7
10,12,14,2000,3,50,25,66.7,27,73,0,86.3,30.0,59.3,3.3,56.6,0.0
10,12,14,2000,3,50,30,81.4,30,63,7,88.2,26.7,69.1,10.0,62.3,0.0
10,12,14,2000,3,50,35,65.1,20,80,0,101.8,36.7,79.8,26.7,63.9,3.3
10,12,14,2000,3,50,40,74.8,23,73,3,98.3,53.3,92.8,66.7,68.9,23.3
10,12,14,2000,4,30,25,93.0,87,7,7,82.6,3.3,67.2,0.0,67.4,6.7
10,12,14,2000,4,30,30,99.8,83,7,10,93.5,43.3,76.1,16.7,73.8,13.3
10,12,14,2000,4,30,35,77.8,93,7,0,94.3,63.3,98.6,50.0,80.5,36.7
10,12,14,2000,4,30,40,86.1,87,10,3,95.7,56.7,117.1,63.3,85.4,80.0
10,12,14,2000,4,40,25,84.9,43,50,7,87.7,30.0,55.4,3.3,54.5,0.0
10,12,14,2000,4,40,30,86.1,53,40,7,86.0,26.7,58.7,0.0,60.9,0.0
10,12,14,2000,4,40,35,100.7,50,37,13,95.6,43.3,77.8,30.0,69.4,13.3
10,12,14,2000,4,40,40,68.8,53,47,0,97.9,50.0,76.5,33.3,69.5,20.0
10,12,14,2000,4,50,25,76.6,53,43,3,84.8,30.0,56.2,0.0,55.7,3.3
10,12,14,2000,4,50,30,76.4,57,40,3,90.1,23.3,67.1,20.0,64.0,10.0
10,12,14,2000,4,50,35,71.2,77,23,0,91.0,50.0,76.5,26.7,65.9,20.0
10,12,14,2000,4,50,40,86.1,70,23,7,105.7,63.3,80.0,30.0,70.9,33.3
10,12,14,2000,5,30,25,100.7,87,3,10,85.5,3.3,65.2,0.0,61.0,0.0
10,12,14,2000,5,30,30,90.6,93,3,3,87.5,16.7,76.2,6.7,67.9,0.0
10,12,14,2000,5,30,35,122.6,80,0,20,88.6,30.0,91.9,60.0,84.7,33.3
10,12,14,2000,5,30,40,86.1,93,3,3,98.6,46.7,98.2,66.7,84.2,80.0
10,12,14,2000,5,40,25,77.3,90,10,0,86.7,40.0,64.3,0.0,67.6,0.0
10,12,14,2000,5,40,30,76.3,97,3,0,83.2,23.3,73.8,6.7,75.6,16.7
10,12,14,2000,5,40,35,91.4,87,7,7,101.6,43.3,89.0,53.3,83.4,36.7
10,12,14,2000,5,40,40,106.1,80,7,13,86.1,26.7,99.1,63.3,87.7,73.3
10,12,14,2000,5,50,25,85.2,40,53,7,79.6,36.7,53.8,0.0,53.2,0.0
10,12,14,2000,5,50,30,76.4,43,53,3,87.5,36.7,58.7,0.0,60.1,0.0
10,12,14,2000,5,50,35,68.4,47,53,0,92.6,40.0,73.2,16.7,66.2,6.7
10,12,14,2000,5,50,40,74.2,37,60,3,91.2,36.7,76.5,30.0,70.1,20.0
10,12,14,2500,3,30,25,213.0,0,37,63,98.4,23.3,56.4,3.3,55.4,0.0
10,12,14,2500,3,30,30,162.2,0,60,40,103.1,46.7,59.3,0.0,60.5,0.0
10,12,14,2500,3,30,35,184.7,0,50,50,107.0,30.0,76.3,20.0,64.0,0.0
10,12,14,2500,3,30,40,156.6,0,60,40,117.1,56.7,79.8,40.0,76.6,30.0
10,12,14,2500,3,40,25,178.5,0,50,50,93.7,13.3,50.7,0.0,51.0,0.0
10,12,14,2500,3,40,30,202.4,0,40,60,108.5,33.3,57.5,3.3,53.4,0.0
10,12,14,2500,3,40,35,187.4,0,47,53,107.6,46.7,71.3,20.0,60.4,3.3
10,12,14,2500,3,40,40,174.6,0,53,47,105.4,43.3,72.2,63.3,77.3,33.3
10,12,14,2500,3,50,25,106.8,0,83,17,99.2,10.0,58.3,0.0,56.9,0.0
10,12,14,2500,3,50,30,85.5,0,93,7,98.5,23.3,64.8,6.7,62.0,0.0
10,12,14,2500,3,50,35,98.7,0,87,13,106.2,43.3,87.3,36.7,63.8,3.3
10,12,14,2500,3,50,40,91.8,0,90,10,112.4,63.3,110.1,70.0,87.5,33.3
10,12,14,2500,4,30,25,196.5,0,50,50,100.6,10.0,69.2,0.0,61.2,0.0
10,12,14,2500,4,30,30,193.6,0,50,50,105.3,26.7,84.2,13.3,73.1,3.3
10,12,14,2500,4,30,35,203.8,0,50,50,116.6,63.3,108.7,40.0,82.3,16.7
10,12,14,2500,4,30,40,148.0,0,73,27,109.8,53.3,102.5,56.7,93.9,60.0
10,12,14,2500,4,40,25,165.3,0,57,43,95.6,23.3,53.2,0.0,54.9,0.0
10,12,14,2500,4,40,30,192.7,0,47,53,100.6,33.3,58.3,0.0,58.7,0.0
10,12,14,2500,4,40,35,205.6,0,40,60,108.1,50.0,76.2,16.7,64.7,0.0
10,12,14,2500,4,40,40,205.1,0,40,60,117.5,50.0,74.3,23.3,73.4,13.3
10,12,14,2500,4,50,25,152.9,0,63,37,98.1,10.0,58.0,0.0,55.6,0.0
10,12,14,2500,4,50,30,193.8,0,47,53,98.2,16.7,66.8,10.0,63.4,0.0
10,12,14,2500,4,50,35,183.7,0,50,50,109.4,43.3,85.1,26.7,73.3,10.0
10,12,14,2500,4,50,40,151.8,0,63,37,117.2,56.7,94.6,46.7,75.4,23.3
10,12,14,2500,5,30,25,215.0,0,43,57,101.7,20.0,62.6,0.0,63.3,0.0
10,12,14,2500,5,30,30,168.2,0,63,37,98.0,10.0,78.2,6.7,77.5,3.3
10,12,14,2500,5,30,35,195.3,0,50,50,111.6,23.3,95.4,43.3,84.9,20.0
10,12,14,2500,5,30,40,170.9,0,63,37,120.0,76.7,115.4,46.7,94.4,63.3
10,12,14,2500,5,40,25,196.8,0,50,50,96.2,26.7,62.9,0.0,64.1,0.0
10,12,14,2500,5,40,30,203.8,0,47,53,102.0,30.0,75.4,3.3,71.7,0.0
10,12,14,2500,5,40,35,171.1,0,60,40,107.4,36.7,109.2,43.3,87.1,13.3
10,12,14,2500,5,40,40,194.5,0,50,50,112.9,63.3,118.9,60.0,99.3,60.0
10,12,14,2500,5,50,25,165.2,0,57,43,98.1,26.7,53.5,0.0,56.7,3.3
10,12,14,2500,5,50,30,167.7,0,57,43,104.6,40.0,61.8,6.7,60.5,3.3
10,12,14,2500,5,50,35,221.4,0,37,63,107.8,36.7,70.8,6.7,66.8,0.0
10,12,14,2500,5,50,40,217.3,0,37,63,99.7,23.3,90.2,50.0,75.8,26.7
10,12,14,3000,3,30,25,214.4,0,40,60,110.8,33.3,56.3,3.3,57.1,0.0
10,12,14,3000,3,30,30,163.6,0,63,37,109.4,36.7,60.8,0.0,59.6,0.0
10,12,14,3000,3,30,35,150.8,0,63,37,110.5,36.7,75.4,3.3,67.7,3.3
10,12,14,3000,3,30,40,209.0,0,40,60,127.2,60.0,98.7,56.7,82.3,10.0
10,12,14,3000,3,40,25,178.3,0,50,50,103.1,16.7,52.3,0.0,53.0,3.3
10,12,14,3000,3,40,30,145.1,0,63,37,114.4,26.7,52.7,0.0,54.4,0.0
10,12,14,3000,3,40,35,209.7,0,40,60,118.5,26.7,73.2,16.7,57.8,0.0
10,12,14,3000,3,40,40,179.3,0,50,50,103.6,56.7,76.1,66.7,70.1,20.0
10,12,14,3000,3,50,25,116.8,0,80,20,109.4,26.7,60.4,0.0,55.2,0.0
10,12,14,3000,3,50,30,84.1,0,93,7,108.5,13.3,71.1,13.3,64.4,0.0
10,12,14,3000,3,50,35,100.2,0,87,13,129.6,53.3,73.3,13.3,65.7,3.3
10,12,14,3000,3,50,40,99.9,0,87,13,125.9,50.0,119.2,80.0,73.8,23.3
10,12,14,3000,4,30,25,209.5,0,43,57,121.8,13.3,66.2,0.0,64.9,0.0
10,12,14,3000,4,30,30,219.0,0,40,60,118.3,16.7,79.8,3.3,70.7,3.3
10,12,14,3000,4,30,35,206.3,0,47,53,129.8,43.3,107.8,43.3,84.2,16.7
10,12,14,3000,4,30,40,161.2,0,67,33,129.9,70.0,130.4,63.3,98.0,43.3
10,12,14,3000,4,40,25,148.5,0,70,30,119.2,30.0,54.5,0.0,54.4,0.0
10,12,14,3000,4,40,30,189.8,0,47,53,105.0,26.7,59.8,0.0,59.8,0.0
10,12,14,3000,4,40,35,190.5,0,50,50,118.9,36.7,72.9,3.3,65.3,3.3
10,12,14,3000,4,40,40,195.7,0,47,53,131.0,56.7,86.3,30.0,80.1,20.0
10,12,14,3000,4,50,25,209.5,0,40,60,113.3,16.7,55.9,0.0,58.8,0.0
10,12,14,3000,4,50,30,207.5,0,40,60,108.1,13.3,66.9,0.0,60.5,0.0
10,12,14,3000,4,50,35,191.2,0,47,53,115.4,26.7,79.4,13.3,68.9,3.3
10,12,14,3000,4,50,40,184.0,0,53,47,125.1,60.0,93.2,26.7,72.3,13.3
10,12,14,3000,5,30,25,202.6,0,47,53,122.7,13.3,60.7,0.0,65.4,0.0
10,12,14,3000,5,30,30,204.1,0,47,53,115.3,30.0,82.3,6.7,73.3,3.3
10,12,14,3000,5,30,35,220.3,0,40,60,115.2,33.3,104.1,33.3,88.6,20.0
10,12,14,3000,5,30,40,182.8,0,60,40,127.6,46.7,135.2,70.0,105.3,60.0
10,12,14,3000,5,40,25,187.2,0,53,47,114.4,23.3,66.6,0.0,65.4,0.0
10,12,14,3000,5,40,30,177.4,0,57,43,112.4,33.3,73.9,0.0,74.7,3.3
10,12,14,3000,5,40,35,214.9,0,40,60,123.6,36.7,101.2,46.7,86.8,30.0
10,12,14,3000,5,40,40,192.1,0,50,50,126.7,46.7,132.1,46.7,107.0,73.3
10,12,14,3000,5,50,25,165.7,0,57,43,109.4,26.7,54.6,0.0,55.2,0.0
10,12,14,3000,5,50,30,162.9,0,60,40,118.6,40.0,59.7,0.0,60.2,0.0
10,12,14,3000,5,50,35,189.6,0,50,50,115.6,33.3,72.0,13.3,65.5,3.3
10,12,14,3000,5,50,40,160.7,0,60,40,120.8,26.7,95.4,43.3,74.2,10.0
10,14,10,1500,3,30,25,58.0,50,50,0,66.9,23.3,52.1,0.0,54.6,13.3
10,14,10,1500,3,30,30,59.4,73,27,0,81.4,50.0,58.5,3.3,57.6,10.0
10,14,10,1500,3,30,35,57.7,53,47,0,74.9,33.3,65.1,26.7,66.6,36.7
10,14,10,1500,3,30,40,58.2,60,40,0,73.3,50.0,59.8,60.0,65.6,70.0
10,14,10,1500,3,40,25,53.5,47,53,0,70.9,10.0,51.0,6.7,50.5,0.0
10,14,10,1500,3,40,30,56.6,70,30,0,68.5,13.3,53.9,10.0,54.3,6.7
10,14,10,1500,3,40,35,55.0,57,43,0,75.1,53.3,51.7,43.3,55.8,30.0
10,14,10,1500,3,40,40,55.0,50,50,0,69.9,63.3,57.4,76.7,60.4,43.3
10,14,10,1500,3,50,25,58.5,57,43,0,72.0,23.3,58.3,0.0,58.3,3.3
10,14,10,1500,3,50,30,58.2,77,23,0,74.7,30.0,59.8,6.7,58.8,16.7
10,14,10,1500,3,50,35,57.6,60,40,0,74.7,43.3,72.0,36.7,64.9,13.3
10,14,10,1500,3,50,40,58.0,70,30,0,80.8,66.7,80.4,53.3,73.9,33.3
10,14,10,1500,4,30,25,61.5,100,0,0,65.8,16.7,66.5,10.0,58.9,23.3
10,14,10,1500,4,30,30,61.2,100,0,0,67.1,6.7,71.7,16.7,63.5,66.7
10,14,10,1500,4,30,35,61.7,100,0,0,74.1,30.0,85.3,43.3,65.8,76.7
10,14,10,1500,4,30,40,62.3,97,3,0,82.1,50.0,86.3,90.0,83.6,90.0
10,14,10,1500,4,40,25,56.9,53,47,0,66.7,20.0,53.1,0.0,54.5,6.7
10,14,10,1500,4,40,30,57.7,47,53,0,80.6,36.7,58.1,0.0,57.8,26.7
10,14,10,1500,4,40,35,57.7,40,60,0,75.0,30.0,68.7,23.3,62.3,66.7
10,14,10,1500,4,40,40,58.5,67,33,0,67.9,56.7,62.2,70.0,62.0,60.0
10,14,10,1500,4,50,25,55.8,57,43,0,62.3,20.0,50.4,0.0,51.9,13.3
10,14,10,1500,4,50,30,64.6,63,33,3,78.8,23.3,57.1,3.3,56.1,13.3
10,14,10,1500,4,50,35,64.7,60,37,3,74.1,46.7,66.1,33.3,58.2,26.7
10,14,10,1500,4,50,40,56.8,60,40,0,71.0,60.0,63.7,46.7,63.4,73.3
10,14,10,1500,5,30,25,62.5,100,0,0,71.9,26.7,64.6,0.0,62.3,40.0
10,14,10,1500,5,30,30,70.5,97,0,3,78.0,30.0,72.0,16.7,64.5,63.3
10,14,10,1500,5,30,35,62.6,100,0,0,78.0,40.0,79.9,43.3,67.8,86.7
10,14,10,1500,5,30,40,62.7,100,0,0,75.7,36.7,89.5,60.0,69.6,93.3
10,14,10,1500,5,40,25,62.1,97,3,0,75.3,20.0,64.1,16.7,60.6,36.7
10,14,10,1500,5,40,30,61.4,100,0,0,72.8,13.3,70.9,26.7,63.2,46.7
10,14,10,1500,5,40,35,62.0,97,3,0,85.3,46.7,80.7,40.0,66.3,80.0
10,14,10,1500,5,40,40,61.5,100,0,0,80.5,43.3,84.4,53.3,73.7,83.3
10,14,10,1500,5,50,25,58.2,77,23,0,70.6,26.7,53.6,3.3,56.4,30.0
10,14,10,1500,5,50,30,58.5,77,23,0,77.5,13.3,58.7,0.0,58.5,20.0
10,14,10,1500,5,50,35,67.6,87,10,3,77.5,23.3,66.7,20.0,61.6,56.7
10,14,10,1500,5,50,40,67.0,73,23,3,68.7,23.3,77.3,30.0,62.0,70.0
10,14,10,2000,3,30,25,146.5,0,63,37,77.8,16.7,52.3,0.0,53.9,6.7
10,14,10,2000,3,30,30,176.0,0,53,47,90.0,33.3,56.2,0.0,59.5,10.0
10,14,10,2000,3,30,35,159.2,0,63,37,81.2,16.7,69.2,30.0,67.7,6.7
10,14,10,2000,3,30,40,179.8,0,53,47,87.8,50.0,91.1,56.7,64.9,13.3
10,14,10,2000,3,40,25,173.8,0,50,50,81.7,10.0,50.3,0.0,51.8,3.3
10,14,10,2000,3,40,30,187.0,0,47,53,92.6,30.0,57.8,6.7,55.7,0.0
10,14,10,2000,3,40,35,185.5,0,47,53,91.1,56.7,57.3,43.3,59.8,10.0
10,14,10,2000,3,40,40,180.1,0,50,50,80.4,76.7,57.0,60.0,63.5,13.3
10,14,10,2000,3,50,25,91.0,0,90,10,82.4,23.3,58.7,0.0,58.5,3.3
10,14,10,2000,3,50,30,78.9,0,93,7,91.4,36.7,59.6,3.3,58.6,0.0
10,14,10,2000,3,50,35,75.3,0,97,3,79.5,20.0,71.7,16.7,66.1,20.0
10,14,10,2000,3,50,40,95.4,0,87,13,102.1,73.3,84.7,40.0,64.5,16.7
10,14,10,2000,4,30,25,190.3,0,53,47,82.6,20.0,66.9,3.3,64.3,3.3
10,14,10,2000,4,30,30,177.2,0,57,43,83.4,13.3,73.9,20.0,67.8,20.0
10,14,10,2000,4,30,35,191.9,0,50,50,88.1,26.7,90.9,36.7,76.0,56.7
10,14,10,2000,4,30,40,218.1,0,40,60,93.0,46.7,100.3,46.7,86.6,50.0
10,14,10,2000,4,40,25,168.2,0,57,43,84.6,13.3,52.0,0.0,52.7,0.0
10,14,10,2000,4,40,30,208.5,0,40,60,95.0,33.3,62.4,0.0,58.1,0.0
10,14,10,2000,4,40,35,178.1,0,50,50,86.7,16.7,78.1,23.3,65.4,16.7
10,14,10,2000,4,40,40,114.5,0,77,23,81.2,50.0,76.5,60.0,77.5,33.3
10,14,10,2000,4,50,25,160.2,0,60,40,74.7,13.3,51.3,0.0,52.7,0.0
10,14,10,2000,4,50,30,129.7,0,73,27,84.5,10.0,55.0,3.3,55.4,3.3
10,14,10,2000,4,50,35,177.1,0,50,50,93.8,36.7,64.9,10.0,61.6,10.0
10,14,10,2000,4,50,40,176.1,0,50,50,89.4,50.0,70.0,56.7,62.9,16.7
10,14,10,2000,5,30,25,196.5,0,50,50,80.7,23.3,64.1,3.3,65.9,6.7
10,14,10,2000,5,30,30,214.6,0,40,60,93.3,40.0,77.1,20.0,68.3,16.7
10,14,10,2000,5,30,35,182.4,0,57,43,90.3,33.3,85.9,36.7,73.1,36.7
10,14,10,2000,5,30,40,179.3,0,60,40,89.3,46.7,98.8,50.0,89.9,66.7
10,14,10,2000,5,40,25,235.3,0,30,70,81.2,16.7,64.4,6.7,59.0,3.3
10,14,10,2000,5,40,30,176.3,0,57,43,82.2,6.7,68.9,10.0,68.4,20.0
10,14,10,2000,5,40,35,181.4,0,60,40,97.3,40.0,78.3,30.0,73.4,40.0
10,14,10,2000,5,40,40,163.4,0,67,33,93.4,36.7,98.1,40.0,84.0,36.7
10,14,10,2000,5,50,25,79.4,47,47,7,94.7,46.7,54.7,3.3,55.0,10.0
10,14,10,2000,5,50,30,81.1,50,43,7,95.8,26.7,57.8,0.0,59.0,3.3
10,14,10,2000,5,50,35,89.8,37,53,10,90.5,26.7,66.3,13.3,67.0,10.0
10,14,10,2000,5,50,40,71.1,33,63,3,86.6,40.0,81.4,43.3,74.2,30.0
10,14,10,2500,3,30,25,187.8,0,47,53,99.0,20.0,52.9,0.0,54.9,0.0
10,14,10,2500,3,30,30,167.7,0,57,43,114.4,53.3,59.1,3.3,57.1,0.0
10,14,10,2500,3,30,35,185.4,0,50,50,101.0,23.3,72.4,23.3,65.8,6.7
10,14,10,2500,3,30,40,159.3,0,60,40,102.7,43.3,83.4,50.0,77.1,33.3
10,14,10,2500,3,40,25,176.6,0,50,50,97.0,13.3,51.2,0.0,51.9,0.0
10,14,10,2500,3,40,30,171.4,0,53,47,97.0,10.0,54.6,0.0,56.0,0.0
10,14,10,2500,3,40,35,183.1,0,47,53,96.7,50.0,56.1,33.3,60.5,6.7
10,14,10,2500,3,40,40,191.3,0,43,57,103.5,70.0,59.7,50.0,67.5,20.0
10,14,10,2500,3,50,25,70.4,0,97,3,95.5,6.7,60.4,0.0,59.2,3.3
10,14,10,2500,3,50,30,73.3,0,97,3,107.2,26.7,61.2,3.3,59.5,3.3
10,14,10,2500,3,50,35,79.2,0,93,7,99.2,33.3,63.5,3.3,64.2,6.7
10,14,10,2500,3,50,40,86.3,0,90,10,116.1,56.7,88.8,30.0,67.9,13.3
10,14,10,2500,4,30,25,220.0,0,37,63,98.0,40.0,67.1,3.3,64.2,0.0
10,14,10,2500,4,30,30,175.5,0,60,40,107.2,16.7,74.7,3.3,68.1,3.3
10,14,10,2500,4,30,35,188.7,0,53,47,101.7,33.3,97.9,26.7,77.0,30.0
10,14,10,2500,4,30,40,166.9,0,63,37,113.5,50.0,112.3,36.7,83.3,30.0
10,14,10,2500,4,40,25,126.0,0,73,27,93.9,13.3,52.3,0.0,53.8,0.0
10,14,10,2500,4,40,30,203.3,0,40,60,106.2,36.7,57.4,0.0,60.5,3.3
10,14,10,2500,4,40,35,157.7,0,60,40,105.0,30.0,77.0,20.0,66.8,3.3
10,14,10,2500,4,40,40,163.7,0,63,37,109.8,43.3,80.7,50.0,70.9,10.0
10,14,10,2500,4,50,25,128.5,0,73,27,90.5,23.3,49.6,0.0,51.9,0.0
10,14,10,2500,4,50,30,186.5,0,47,53,100.2,20.0,56.6,3.3,55.7,0.0
10,14,10,2500,4,50,35,212.8,0,40,60,106.3,40.0,76.3,33.3,59.2,3.3
10,14,10,2500,4,50,40,169.0,0,57,43,101.0,53.3,74.1,66.7,72.3,26.7
10,14,10,2500,5,30,25,188.1,0,57,43,95.4,16.7,66.7,6.7,63.9,0.0
10,14,10,2500,5,30,30,186.5,0,53,47,107.4,23.3,77.0,16.7,72.0,3.3
10,14,10,2500,5,30,35,181.8,0,57,43,116.7,43.3,89.0,40.0,80.9,20.0
10,14,10,2500,5,30,40,214.6,0,40,60,107.8,56.7,112.7,66.7,92.9,23.3
10,14,10,2500,5,40,25,196.2,0,47,53,93.9,20.0,63.7,0.0,61.1,0.0
10,14,10,2500,5,40,30,205.0,0,43,57,99.4,20.0,72.2,6.7,67.5,3.3
10,14,10,2500,5,40,35,166.8,0,60,40,113.4,60.0,92.3,23.3,85.1,33.3
10,14,10,2500,5,40,40,194.0,0,50,50,116.9,60.0,106.5,66.7,84.8,16.7
10,14,10,2500,5,50,25,178.1,0,50,50,89.9,30.0,51.9,0.0,54.5,3.3
10,14,10,2500,5,50,30,172.0,0,53,47,111.5,33.3,61.0,6.7,58.3,0.0
10,14,10,2500,5,50,35,148.2,0,63,37,99.9,13.3,66.7,10.0,66.5,6.7
10,14,10,2500,5,50,40,216.9,0,40,60,97.0,36.7,82.8,26.7,70.6,13.3
10,14,10,3000,3,30,25,188.2,0,47,53,105.8,30.0,52.5,0.0,53.9,0.0
10,14,10,3000,3,30,30,184.4,0,50,50,121.7,40.0,58.3,0.0,62.6,3.3
